text_en_Titlu,text_en_Rezumat
"Adrian Albu: If Sandu is afraid of bandits, he must not be president","The PSRM deputy, Adrian Albu, criticized the Preton Maia Sandu for the refusal to participate in the electoral debates, above thatThis I look?O? Fear?ordinary??and c?A president should notare you team?by no one.Sandu, who annulled to respect the citizens, said that he said thatDidn't he decide?If?will participate in debates with unauthorized candidates.The independent candidate Alexandr Stoianoglo has left the debates, the nonsense of absence."
Ambassador: The products in the Republic of Moldova already find their place on the EU market,"The Romanian ambassador to the Republic of Moldova, Cristian-Leon? Crcanu, said thatThe future of Moldovan entrepreneurs are?In the European Union, highlighting thatThe traditional products from the Republic of Moldova are in the European market.He mentioned thatIntegration? N EU will give a better?Protection through the European law ensures the identity and local traditions, as well as quality standards that protect.consumers.The ambassador observed with the local entrepreneurs at the EXPO entrepreneur, where he tasted their products."
Zelenski met with the British prime minister: the first stop in the tournament,"Ukrainian President Volodimir Zelenski began a European tour in London, where he was with British Prime Minister Keir Starmer to support the war with Russia.Following?Introduces with Emmanuel Macron in France, Giorgia Meloni in Italy and Pope Francis at the Vatican.The tournament takes place in a period?of advancement of Russian forces in Done? K, and Zelenski criticized the slowness of the aid."
Moldova faces a crisis of organ donors: what do the doctors say,"Do Moldova face?With a crisis?of organ donors, having over 80 patients and every year I needA transplant, but only 4 receive help.Most patients are under 45, and many die before obtaining an organ.Reticers of relatives to consent to donation is a barrier?Major?, and only two?Medical institutions are authorized tosampling organs.Recently, the Republican Clinical Hospital? Timofei Mo? Neaga?was accredited for the sampling of organs from donors to cerebral death."
"Over 300 hemp plants, discovered in a household in Comrat","Police in UTA G? Uzia discovered over 300 plantsIn a household in the village of Cioc-Maidan, Comrat.The people of the law lifted 315 plants in growth and 650 grams of substanceplant?dry?like marijuana, packaged?? n 13 packages.Did they also confiscate an ARM?of the living ofillegal.Continuous investigations, and such crimes can be punished with 2 to 15 years."
The US and PNUD support the digitalization of the penitentiary system in Moldova,"The US government and support?The Ministry of Justice in the Republic of Moldova in digitalization of the penitentiary system, with a budget of $ 1.94 million.The project is aimed at?increasing efficiency and transparency in managing the files by developing an electronic system.Also, ANP and INP staff will benefit from training and equipment needed for thisDigital transformation?"
A driver has hidden a commercial batch of goods and now risks sanctions,"One? I offer 31 years old, with double?Citie, he tried toDo I pass?Border F? R?to declare a lot of measures, including thermostats and installation accessories, transported to a Mercedes-Benz Sprinter coming from France.The customs officers confiscated the goods, and?contraventional sanctions."
What substance in toys increases by 300% the risk of cancer death,"A recent study warns?c?The black plastic, used in children's players and in size containers, can consist of diphenyl, a dangerous chemical compound.This?substance, if?It reaches the body, increases the risk of cancer death by 300% for people with high levels."
Bomb alert at an educational institution in Chisinau,"Bomb alert?from an institution of the street on Alexei Mateevici street in Chi?What specialized services do not find suspicious objects.Police was notified?by a man around 5:40 pm, and now a criminal trial for false communication has been initiated?About an act of terrorism, and the authorities are looking for?s?Identify the appellant."
BNS: average consumption prices increased in September by 5.2%,"In September 2024, the average consumption prices increased by 5.2% FA ??that's why the month?from 2023, according to the National Statistical Office.Foods were expensive by 7.1%, especially vegetables (45%), fruits (19.2%) and egg (31.6%).At the non -food goods, the mind increased by 11.6%, and the drugs by 8.06%.The services had an average increase in 2.1%, with a significant increase?of medical services (24.8%).At the same time, the gas has been cheaper with 27.3%, and the rates for centralized settlement?with 43%.The National Bank?of Moldova estimates?c?the annual rate?Inflation will not deposit 5% this year."
A man in Zaim returned home and put on a business on,"A 38 -year -old man from Zaim village, afterFour years of work?In the Russian federation, did he come back at home?and a business growth business.Now, he is one of the largest meat producers and br?of sheep from the locality.Although zootechnics is a branch?Difficult, he / she is a lot of dream.passion and effort.Between the challenges that are not called.Lack of adequate infrastructure and access difficulties on the market.The tune has ambient plans to expand the farm and diversification of the products, wishing toproduce?Several types of traditional branches and sausages."
The MAN Party informs citizens about the benefits of EU accession,"The Man Party, led by the mayor Ion Ceban, unfolded?a campaign to inform the citizens of Moldova about the benefits of adhering to the European Union.Ceban emphasize?The importance of this opportunity, even ifMany citizens were disappointment.He says?c?The choice is for the future and thatThe citizens have the ability to make informed and mature decisions in the turbulent context of Moldovan politics."
Rage in Turkey after several women were brutally killed,"A number of cases of Femicide in Turkey has caused a national indignation.is committed to??criminal law?Nearly 300 women were killed this year, and the protests took place in different times, demanding the government tostop?violence and impunity.Recent cases including brutal killing?of a young woman with a measure of a police, have amplified the anger of the public.Erdogan acknowledged the justified reaction?of the nation and promised measures to meet the justice system."
Why farmers do not use drought -resistant corn hybrids,"Moldovan farmers continue?s?Cultivate corn, although drought can compromise the harvest with p? nto 100%.Most do not use drought resistant hybrids, prefer corn due tolarge harvest under favorable conditions and demand on the market.In the last four years, the average harvest was only 2.9 tonnes per hectare, and many farmers ask for aid from the authorities to make the face ofagricultural crisis."
"Chisinau, the magnet of Moldova: generates 60% of the national GDP","Chi? In? U generate?60% of the national GDP of Moldova, has a population of over 27% of the total.The capital produces 55% of the industrial production, concentrates?70% of the construction activity and attracts 90% of the investments in the house.In addition, chi? do you register?75% of national peas, with 82% of the big businesses located here.Are they estimated?c?The population will reach 665,000 in 2024, and the regional GDP could reach 203.8 billion lei.Economic differences between Chi and the rest of continuings?Creasc?"
The winner of the title Educator of the year 2024 risks losing the distinction,"Cation of the prize? Educator of the year 2024?, Valentina Moscalu, Risk?s?Load?The title after?which Ministry of Education initiated an examination of its withdrawal due to sanctions applied by local authorities.I announce that in order to prevent similar situations in the future, it will modify the regulation of the competition, demand for the candidatesI submit?a declaration on his own response regarding the lack of disciplinary sanctions.Moscalu, with 24 years of experience ??at the grid?no.10? Gugu ???From the mugs, he won the first prize on October 6."
"Candidate assessment for SCM specialized colleges, completed","The Veting Commission evaluated 25 candidates for the colleges of the Superior Council of Magistracy (CSM).The evaluation took place in December 2023, with a rat85% promotion for the College for the Selection of Judges and 50% for the Disciplinary College.Three candidates withdrew, and all those who promoted participated in public hearings.Of the total, 13 candidates accepted the publication of the commission's decisions."
Did Sandu use administrative resources in the campaign?CEC will investigate,"Maia Sandu, a candidate for the presidential elections, is accused?by Ion Chicu from PDCM for the use of administrative resources in the election campaign?Chicu up?Sandu has made an election agitation?By participating in infrastructure projects?financed from the public budget.The electoral commission?Central?(CEC) examined the contest, but did not reach a final decision?and will continue the investigation.CEC members observed that?Sandu acted as a president and not a candidate, withoutto call directly to the vote."
The amazing amount that gathers in a year in the famous Fontana di Trevi,"Fontana di Trevi from Rome attracts millions of tours?annually between 1.3 and 1.9 million euros in coins.Money is used to help disadvantaged people with charitable organizations.Also, from the fact that?Are various unique objects recovered? Nuite.According to the legend, they throw a coin, the people will return to Rome."
"US, new sanctions against Iran: Answer to the attack on Israel","The US has imposed new sanctions against Iran as answered the rocket attack on October 1 on Israel.The sanctions are aimed at?The whole petrochemical industry?Iranian?And 20 ships and foreign companies involved in the transport of Iranian oil, mainly from China, but also from the United Arab Emirates and Liberia.The announcement was coordinated with allies, and the sanctions are meant toCreasc?Financial pressure?on the Tehran and tolimits its ability to destabilize the region."
Corșicova fails to cancel her sanctions.What the court decided,"Arina Cor? Icova, associate?with the party? ANS?And Ilan? Or, he failed toShe cancels the sanctions imposed by SIS, and her request was declared?inadmissible?out of missing?of documents.Has the right to?I submit?a new one?request or s?challenges the decision at the Chi Court of Appeal?Included?on the list of Canada and European Union sanctions, the sanctions provided for assets and the prohibition to keep in the community space."
"The only branch of the Moscow State University in Europe, closed","The State University Branch of Moscow Lomonosov from Koper, Slovenia, was closed according to the rector of the University, Viktor Sadovnichy.The decision was made?by the management of the University Primorska, who found the branch, but the reason for the closure was not specified.The branch, open?In 2017, was it the only representative ??a state university in Moscow in Europe, initially had limited cooperation?to economic studies.The Slovenian government has allocated 500 thousand euros for its establishment."
North Korea accuses that South Korean drones have scattered leaflets,"North Korea accused South Korea C?He sent drones to distribute anti-nord leaflets above the Phenian, I find a military challenge.Has the North Korean Foreign Ministry asked the South?stop?These actions, warned thatcan cause armed conflict.The South Korean General Staff said that?cannot confirm the accusations and remembered thatAnd North Korea sent balloons to the south."
"Request for relocation in one of Stoianoglo's files, rejected","The supreme courtyard?of justice (CSJ) rejected the request for movement submittedby the prosecutor Dumitru R? Ileanu, who is judged by the former prosecutor General Alexandr Stoianoglo and the accuser Elena Ceru, for abuse in service related to the release of Veaceslav Plato.In July, the Chinese Court of Appeal declared inadmissible the appeals of the prosecutors of the countries, who are suspended from the functions.Case examination was suspended?because of the appeals regarding the formation of the judiciary.The case involves?accusations of passive corruption, abuse of service and false in statements."
"Electoral debates: the block together, step and man, for accession to the EU","On October 11, the representatives of the block together, Pas and Man discussed the accession of the Republic of Moldova to the European Union?In the electoral debates in Moldova 1, on the occasion of the referendum on October 20.They have emphasized the importance of voting for European integration, I consider it to beIs it a crucial opportunity?for development.They also approached myths related to neutrality and books between people of the same sex, say thataccession to the EU does not impose such changes.The citizens will vote for the modification of the constitution, which would do European integration?a mandatory priority for future governments."
"Drawing contest Electrical security in children's vision, launched","The Ministry of Education and Research, in collaboration with the national agency?for regulation in energy, has launched the national drawing contest?in the vision of the children, intended for students of classes V-XII.The contest takes place?Between October 11 and November 11, and the works will be evaluated between 13 and November 26.The best drawings will be used to create informative leaflets that will be distributed in the institutions of NV?Authorities?all the students toparticipate."
"Corruption file from Orhei: Three defendants, under house arrest","The court was exhibited today, October 13, oppressed the preventive measure regarding the four people, detained by CNA on Friday, in Orhei, in a file of passive corruption and illegal financing of a political formation."
Iran warns: We have no red lines in the defense of our people,"Iranian Foreign Minister Abbas Araqchi warned this Sunday that Tehran has no red lines ""when it comes to the defense of the people and his interests"
Kremlin: Putin is open for a Scholz dialogue about Ukraine,"Russian President Vladimir Putin is open to a dialogue with German Chancellor Olaf Scholz, Kremlin spokesman Dmitri Peskov said on Sunday."
At all the entries to PMAN have been placed informative panels,"The City Hall of Chisinau informs that at all the entrances to the Great National Assembly (PMAN) Square were placed informative panels for citizens, with details about the important locations of the celebration of the city of Chisinau, for October 13-14, 2024."
"Russia, accused of executing nine Ukrainian prisoners.UN, notified","The Ukrainian Ombudsman Dmitri Lubineţ notified the International Committee of the Red Cross (CICR) and UN on Sunday of the alleged execution of nine Ukrainian war prisoners in the Russian soldiers in the Russian Kursk region, where Ukrainian troops entered the early August to weaken the pressure.Russian forces on the front of Donbas, in eastern Ukraine."
What does the answer or no mean to the referendum means?Osmochescu explains,"The referendum is the only way for citizens to participate directly in the state's affairs, and the constitutional republican referendum is an extremely important one.Thus comments the doctor in law and the former judge of the Constitutional Court, Nicolae Osmochescu, who explains what a possible answer ""yes"" or ""no"" to the only question in the ballot."
Teachers' crisis: In the Soroca district 60 teachers do the shuttle,"The profession of pedagogue has turned into a real vocation for most of them.We refer to teachers who have to do the shuttle, traveling tens of kilometers between localities to get to school."
Sandu: I had an important discussion with 140 young people about politics,"The President of the Republic of Moldova, Maia Sandu, had a discussion with about 140 young people about elections, politics and accession to the EU today."
"Dragon Road, a new ecotourism route launched in Old Orhei","A new ecotouristic route ""Dragon Road has been launched today"
No Exit-Poll at October 20 elections: CEC details,"On October 20, when the Republic of Moldova takes place and the Republican referendum for the inclusion of the European vector in the country's constitution, EXIT-POLL-electoral survey will be organized as soon as the voters come out of the voting booths."
The story of a craftsman who opened a potter school in Gagauzia,"Petru Capaclî, a popular craftsman from Beșalma, Gagauzia, opened in the region a pottery school for all those who wish.With the help of a fund, he also managed to purchase a 3D laser printer with which he creates different objects with dozens of children."
"World Bank: The poorest countries, in the worst crisis of 2006","The poorest 26 countries in the world, in which 40% of the people affected most of poverty live, have bigger debts than in any other year after 2006."
Ceban and his colleagues laid flowers at Stefan cel Mare's monument,"Today, October 14, the general mayor of the Capital, Ion Ceban, together with the team of Chisinau City Hall, laid flowers at the monument of the ruler Stephen the Great and Holy on the occasion of the celebration of the Virgin Mary, the day we celebrate the dedication of Chisinau."
Sexually abused children in Moldova: Most of the victims are girls,"Most sexual abused children, according to statistical data, are girls.And the criminals are, in most cases, men and are part of the families of the victims.Dads, uncle, grandparents, brothers - get offenses hard to imagine.Once they become victims of sexual abuse, minors develop physical and psychological trauma, which are extremely difficult to heal.Moreover, some of them may become abusers of children in turn."
CEC announces how many Moldovans with voting rights have their domicile in Transnistria,"The central electoral commission (CEC) confirmed, in a response to the Newsmaker, that 274,475 Moldovan citizens with voting rights are included in the State Register of Voters, having the domicile registered to the left of the Dniester."
"Alert in Romania: eggs and meat with Salmonella, withdrawn from sale","Over 4,380 eggs and a few kilograms of meat were withdrawn from marketing, in Buzau, Romania, after Salmonella Enteritidis was detected.The inspectors from the Sanitary-Veterinary and Food Safety Directorate of Buzau confiscated, during September, following controls, 30 kilograms of meat."
Hiking and cycling - a tourist novelty in the heart of the Dniester,"A new route of cycling and hiking - ""the heart of the Dniester"" - was launched with the support of the United Nations Development (PND) and the Switzerland, offering cyclists and hikers a unique 42 km experience along the Dniester River."
How the Moldovan priests gathered signatures for Victoria Furtuna,"The election campaign for presidential elections and referendum has led the Kremlin to mobilize all its resources in the Republic of Moldova.In the fight for the head of the state, but also for the compromise of the referendum, even the most ""holy"" resources - the priests, who gathered signatures from people for the villages Victoria Furtuna were thrown."
The Government meeting on October 16th.The subjects on the agenda,"The ministers' office will meet tomorrow, October 16, starting at 10:00, in a new meeting."
Expert: Electoral programs exceed the duties of a president,"Despite the improvement of the electoral culture, the candidates' programs do not include implementation mechanisms that ensure the promises or provide actions that are not in the attributions of a state president, which will disappoint the voters."
"Officially from Denmark, in Chisinau: together we become stronger","The foreign ministers of the Nordic and Baltic countries have today declared, October 15, in Chisinau, the support for the European course of the Republic of Moldova and to share with their experiences in the implementation of reforms."
"Exports of cherries, apples and plums have increased on the European market","The exports of Moldovan cherries on the European Union (EU) market increased, in 2024, by 1,200% or 12 times, the data of the Association ""Moldova Fruct"" shows."
Jurnal TV responds to Veaceslav Plato: a denigration campaign,"""Jurnal TV is an independent television station, dedicated to the correct and objective information of the citizens.We have always worked according to the principles of professional journalism and strictly respecting the legal norms.I have never received funding or support from controversial people or involved in illicit activities. ”"
Study: Women's challenges in export and solutions to be overcome,"Today, October 15, 2024, on the International Day of Women in the Rural Age, a Women organized the event ""Women in Export: Access ways to the global market"".The event constituted a dialogue between representatives and representatives of state institutions, international organizations and donors, business associations, entrepreneurs."
Caution: Number of people intoxicated with fungi is increasing,"The CNAMUP Emergency Medical Assistance Service was requested on October 7-13 for 14.199 citizens, including for 2,078 children."
"Secretary of State of the Ministry of Energy, visited in Brussels","The State Secretary of the Ministry of Energy, Cristina Peretatcu, participated in the bilateral screening meeting on the ""economic criterion, marking an important stage during the country to European integration"", which was held in Brussels and focused on discussions on the progress of Moldova in the economic sector.And energetically, but also in education, the development of innovations, infrastructure and business environment."
"Jador, message for young people on the Pman's stage: Read the Bible","Jador, one of the most well-known party music singers in Romania, who climbed the stage in the Great National Assembly Square on the occasion of Chisinau's dedication, urged the young Moldovans to read the Bible and trust God."
"Accident in the Capital: A woman and a little girl, transported to the hospital","A road accident occurred today, October 16, in the Rascani sector of the Capital.A driver and a three -year -old child were taken over and transported to the hospital."
"Bomb alerts at the Chisinau Court, Center headquarters and Buiucani","The police were notified in the afternoon of today, October 16, as in the Chisinau Court, the Centru and Buiucani offices, explosive objects are located."
Official Ukrainian: Moldova should take care of your own security,"Alexei Arestovici, former counselor of the head of the Cabinet of the President of Ukraine, believes that Moldova should take care of its own security."
Voda: No mayor is pronounced against European integration,"No mayor of the Republic of Moldova rules against the European integration, against the development and modernization of their own localities.This opinion is Daniel Voda, who mentioned the effort made by each official to listen to the needs of people and explain the benefits of accession to the EU."
Exclusive fragments from the Patriot book.Memories of Aleksei Navalnîi,"Public freedom, exclusively in Romanian, five fragments of the book ""Patriot.Memories ”by Aleksei Navalnîi, between 14 and 18 October, being the only publication in Romania that the Litera Publishing House and the International Strudes of the Volume Signed by the Russian dissident chose to preface the international launch on October 22."
"The involvement of minors in the Maia Sandu campaign: PDCM notification, rejected","The Central Election Commission (CEC) rejected, with the vote of six members, in the meeting on Wednesday, October 16, the candidate's notification of President Ion Chicu, who requested the sanction of Maia Sandu."
EU Ambassador: Russia will continue to try to influence the choices,"The head of the European Union delegation in Chisinau, Jānis Mažiki, warns that Russia will continue to intensify its efforts to influence politics and elections in the Republic of Moldova, both this week and in the future."
Nocturnal Military Applications near Tiraspol: Chisinau reaction,The nocturnal applications on the military polygon near Tiraspol are not first performed and are not at risk.
Moldova goes to winter time.How is the human body affected,"Republic of Moldova will pass this year at winter time.The passage will be made on Saturday night, October 26, on Sunday, October 27th.The clockwise will be given an hour ago, so that 04:00 becomes 03:00."
"Recean, address to citizens: vote with vote We will defend the future of the country","Prime Minister Dorin Recean had, this evening, an address to Moldovans regarding the presidential elections and the Republican Constitutional Referendum on October 20."
Russia: State Duma forbids the propaganda of Child-Free Movement,"The Russian State Duma approved, in the first reading, a draft law that prohibits the ""propaganda of movement without children"" or ""child-free"".The announcement was made by the president of Duma, Veceslav Volodin.According to the initiative, Russian citizens who will promote life without children would be fined up to 400 thousand rubles, and companies that will do this - with up to 5 million rubles."
The gesture to which a man from Ukraine resorted to flee from the country,"The situation on the Ukraine front is not a good one for Zelenski's army, which is why more and more sodates desert and run off the front.Others, freshly recruited, don't even want to get there."
"A man, caught by environmental inspectors while cutting trees illegally",A man was detected by the environmental inspectors and police officers in Sangerei as the illegal trees in the outskirts of Grigorăuca.
"Recean visited the bridge from Pelinia, recently opened for circulation","Prime Minister Dorin Recean made today, October 17, a visit to the bridge at the entrance to the village of Pelinia, inaugurated on September 27.It provides access to the localities Pelinia, Drochia, Donduseni and Soroca."
France successfully tested its first Kamikaze drone called Colibri,"While the Ukraine war has shown that the use of drones is essential in modern conflicts, the Minister of Armed Forces, Sebastien Lecornu, announced the successful test of the first ""remote -piloted French ammunition on Wednesday."""
Expert: Referendum is a technology to mobilize the electoral,The referendum is a technology invented by the authorities to mobilize the electorate.
Marina Tauber believes that the authorities are preparing their arrest,"Deputy Marina Tauber from the former ""Şor"" party (declared unconstitutional) believes that the Moldovan authorities are preparing their arrest by publishing ""frightening videos"" in the controlled press, all before the vote on October 20."
CSJ postponed a court hearing in the file of ex-prime minister Vlad Filat,"This is a meeting in which a request to accelerate the review of Vlad Filat was to be examined, based on a definitive and enforceable decision of the ECHR."
To whom belongs and from what money is the apartment of Natalia Morari taken,"During an investigation, the candidate for the chair of President Natalia Morari was asked by reporters where he lives now.The question arose after the journalist wrote in the declaration of wealth that he owns an apartment of 176.7 square meters, which belongs to her son."
Good news from meteorologists: During the day the weather gradually will warm up,"The hydrometeorological service announces that this weekend the weather stays cold at night, while the day will gradually warm up.Rain is not provided for the whole period."
Nocturnal accident in Botanica: a minibus crashed into a pillar,"A road accident occurred this evening, October 18, on Sarmizegetusa street in the Capital Botanical Sector.The video images from the accident site were published by Internet users."
Maia Sandu at Telenești: Man with man is built a village and a country,"On the last day of the campaign, before the Sunday vote, the president of the Republic of Moldova, Maia Sandu, took a visit to the Telenesti district.The head of state was accompanied by the President of Parliament Igor Grosu and Prime Minister Dorin Recean."
"Jurnal TV, sanctioned after not broadcasting the spot of Natalia Morari","The Audiovisual Council (CA) sanctioned Jurnal TV with public warning for violating the Code of audiovisual media services, after not broadcasting the electoral spot of Natalia Morari, candidate for the presidential elections on October 20.The sanction was applied on October 18th."
Parliament's electronic mail server has been compromised,"The Parliament of the Republic of Moldova announces that the institution's electronic mail server was compromised yesterday, October 17th."
"Study: 70% of voting sections, inaccessible to people with deficiencies",We are on the eve of new elections in the Republic of Moldova.But this time it is a challenge for people with special needs to exercise their democratic law.
MEC: Students will support thematic assessments in Romanian and mathematics,"The Ministry of Education and Research will organize thematic assessments in Romanian and mathematical language and literature for high school students, Minister Dan Perciun announced today."
German Foreign Minister: The future of the Republic of Moldova is in the heart of Europe,"German Foreign Minister Annalena Baerbock reaffirmed Germany to support the Republic of Moldova on Friday on its way to accession to the European Union, while this country is preparing for the presidential elections and the EU referendum on Sunday."
False messages about choices and referendum: warning the authorities,"The Information Technology and Cyber ​​Security Service (STISC) warns the citizens about an ongoing misinformation campaign, distributed through instant messaging platforms, especially WhatsApp."
Barack Obama is preparing to enter the campaign with Kamala Harris,"The Democrat Kamala Harris will be campaign for the first time with Barack and Michelle Obama in separate events next week, hoping to bring a certain political weight in the final race to the American Presidential Election Day, as a November 5Campaign official quoted by Reuters."
Neutral Switzerland joined the initiative of the European Air Shield,"Switzerland has joined the initiative of the European Air Shield (ESSI), a project that aims to build a unified air defense system and rockets in Europe, Reuters reports."
"Wiz Khalifa, sent to court to Constanța: He smoked marijuana on stage","Rapper Wiz Khalifa was sued in Constanța, after smoking marijuana, this summer, on the stage of the festival ""Beach, please!""from Costinești.DIICOT prosecutors sent him to court for illicit drug use.The decision was made public on the website of the Ministry of Justice in Romania."
"Moldsilva plans to put up for sale 240,000 meters of wood steri","The ""Moldsilva"" State Agency plans to put about 240 thousand meters of wood sterns for sale.This year the prices for firewood have increased by 10 percent compared to last year, and people claim they are too high."
"Undeclared freight, detected at the Sculeni customs: where she was hidden","Electrical instrument batteries, which have not been declared, were detected in a Mercedes means of transport.The incident was registered at the Customs Post."
The driver who took a policeman in Chisinau was arrested,"The driver of a BMW who took a policeman on the hood, near the Academy of Economic Studies of Moldova (ASEM), was placed in arrest."
"PG: About 100 victims of beings, identified in 2024","In the first nine months of this year, 97 victims of trafficking in human beings and children were identified.Of these, 81 are adults (17 women/64 men) and 16 children (15 girls/1 boy)."
France is open to Ukraine's immediate invitation to NATO,"France Minister Jean-Noel Barrot told Kiev on Saturday that Paris is open to the idea of ​​immediately inviting Ukraine to adhere to NATO, but that discussions will continue on this topic, Agerpres quotes Reuters."
Presidentials can be considered valid: 33% of Moldovans voted,The presidential poll of the Republic of Moldova can be considered valid.This is after at 2:30 pm the participation rate of over 33%was reached.
Promo-Lex: Dozens of cases of voting secret violation,Promo-LEX observers reported a total of 658 incident reports.Most of them aimed to violate the secret of the vote.
To vote as at the holiday: the village where the voting section is decorated with carpets,"At the presidential elections and referendum, in the village of Slobozia -duca, Criuleni district, the electoral atmosphere was transformed into a real holiday."
"A Moldovan young man from Zurich, for the first time to vote: It's important","David, an 18-year-old, holding double citizenship, Swiss and Moldovan, went to the polling station in Zurich, to exercise his right to vote.This is for the first time that David participates in a poll as a citizen of the Republic of Moldova."
"Evghenia Guțul, at Etulia: I voted for peace and social understanding","The Gagauzian Bascan, Evghenia Guțul, expressed her right to vote, during the presidential elections and the referendum, which take place today."
Moldovans from Moscow have warmed a hour near the polling station,"Waiting in a row to exercise their right to vote, Moldovan citizens established in the Russian Federation decided to dance a hour in the middle of the street."
"MAE: Diaspora, an example of active voting participation for the future","Moldovans in the diaspora continue to demonstrate a remarkable commitment to the future of Moldova, showing that long distances or tails are not an obstacle to their right to vote."
How Moldovans from Padua vote: We have morning rows formed,"Until this hour, in the city of Padua in Italy, they managed to vote over 1,050 Moldovans.Of these, only two did not take the referendum bulletin.The statements were made by the president of the Moldovan Association of Padua, Lilia Tusa."
"Salaru: In Chisinau it is cold, but in Siberia it is even colder.Go to vote","Former Minister of Defense of the Republic of Moldova, Anatol Şalaru, appealed to Moldovans to participate in elections, emphasizing the importance of vote in the context of external threats."
"1,143,000 voters voted.The referendum, on the verge of being validated","Until 16:00, about 1,143,000 voters voted, which represents 39% of the total number of voters, informs the President of the Central Electoral Commission, Angelica Caraman.According to them, about 74 violations were recorded by the IGP, including photography of the ballots, the organized transport of the voters, but also possible actions to corrupt the citizens."
"IGP: 75 cases of violations, registered at the voting sections in the country","The General Inspectorate of the Police of the Republic of Moldova presents information registered with electoral incidence until 3:30 pm, October 20."
"Young people, about the first voting experience: I felt my voice count","Presidential 2020 - It was the first time I voted.I was in Iasi and I remember staying for about three hours in a kilometer, in rain and cold.And yet, I was waiting to vote.It was a premiere for me, I wanted to fulfill my citizen's responsibility and I wanted a change."
"A Moldovan traveled 2,000 kilometers to vote for the first time","An 18 -year -old girl from the Republic of Moldova traveled 2,000 kilometers to vote on the referendum and presidential.Valeria Mihalachi told about her adventure on social networks."
Elections 2024: In China and Japan the voting process has been completed,"In Japan the voting process has already ended.At 16:00 of the Republic of Moldova, the voting process was completed in China.The announcement was made by the central electoral commission (CEC)."
"Two young people, first voters at Washington DC polling station","Nichita Jalba and Dorina Midrigan are the first voters at the polling station no.210, opened in the city of Washington DC."
