Titlu,Vizualizari,Data publicarii,Sursa,Referinte,Rezumat
Povestea unui meșter care a deschis o școală de olărit în Găgăuzia,587,3 ore în urmă,https://stiri.md/article/social/povestea-unui-mester-care-a-deschis-o-scoala-de-olarit-in-gagauzia,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Petru Capaclî, un meșter popular din Beșalma, Găgăuzia, a deschis în regiune o școală de olărit pentru toți doritorii. Cu ajutorul unui fond, acesta a reușit să achiziționeze și o imprimantă de laser 3D cu care creează diferite obiecte împreună cu zeci de copii."
"Banca Mondială: Cele mai sărace țări, în cea mai gravă criză din 2006",1107,3 ore în urmă,https://stiri.md/article/economic/banca-mondiala-cele-mai-sarace-tari-in-cea-mai-grava-criza-din-2006,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Cele mai sărace 26 de ţări din lume, în care trăiesc 40% dintre persoanele afectate cel mai mult de sărăcie, au datorii mai mari decât în orice alt an de după 2006."
Ceban și colegii săi au depus flori la monumentul lui Ștefan cel Mare,590,2 ore în urmă,https://stiri.md/article/social/ion-ceban-si-colegii-sai-au-depus-flori-la-monumentul-lui-stefan-cel-mare,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Astăzi, 14 octombrie, primarul general al Capitalei, Ion Ceban, împreună cu echipa Primăriei Chișinău, a depus flori la monumentul Domnitorului Ștefan cel Mare și Sfânt cu prilejul sărbătorii Acoperământul Maicii Domnului, zi în care celebrăm Hramul Orașului Chișinău."
Copii abuzați sexual în Moldova: Cele mai multe dintre victime sunt fete,667,3 ore în urmă,https://stiri.md/article/social/copii-abuzati-sexual-in-moldova-cele-mai-multe-dintre-victime-sunt-fete,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Majoritatea copiilor abuzați sexuali, potrivit unor date statistice, sunt fete. Iar infractorii sunt, în cele mai multe dintre cazuri, bărbați și fac parte din familiile victimelor. Tați, unchi, bunici, frați - ajung să comită infracțiuni greu de imaginat. Odată ce devin victimele abuzurilor sexuale, minorii dezvoltă traume fizice și psihologice, care sunt extrem de greu de vindecat. Mai mult, unii dintre ei pot să devină abuzatori de copii, la rândul lor."
CEC anunță câți moldoveni cu drept de vot au domiciliul în Transnistria,1123,3 ore în urmă,https://stiri.md/article/social/cec-anunta-cati-moldoveni-cu-drept-de-vot-au-domiciliul-in-transnistria,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Comisia Electorală Centrală (CEC) a confirmat, într-un răspuns pentru NewsMaker, că în Registrul de Stat al Alegătorilor sunt incluși 274.475 de cetățeni moldoveni cu drept de vot, având domiciliul înregistrat în stânga Nistrului."
"Alertă în România: Ouă și carne cu Salmonella, retrase din vânzare",565,4 ore în urmă,https://stiri.md/article/international/alerta-alimentara-in-romania-oua-si-carne-cu-salmonella-retrase-din-vanzare,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Peste 4.380 de ouă și câteva kilograme de carne au fost retrase de la comercializare, în Buzău, România, după ce s-a detectat Salmonella enteritidis. Inspectorii din cadrul Direcției Sanitar-Veterinare și pentru Siguranța Alimentelor Buzău au confiscat, pe parcursul lunii septembrie, în urma unor controale, 30 de kilograme de carne."
Drumeţia şi ciclismul – o noutate turistică în Inima Nistrului,528,4 ore în urmă,https://stiri.md/article/social/drumetia-si-ciclismul-o-noutate-turistica-in-inima-nistrului,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Un nou traseu de ciclism și drumeție - „Inima Nistrului"" - a fost lansat cu sprijinul Programului Naţiunilor Unite pentru Dezvoltare (PNUD) și al Guvernului Elveției, oferind cicliștilor și drumeților o experiență unică de 42 km de-a lungul râului Nistru."
Cum au adunat preoții din Moldova semnături pentru Victoria Furtună,2634,4 ore în urmă,https://stiri.md/article/politica/cum-au-adunat-preotii-din-moldova-semnaturi-pentru-victoria-furtuna,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Campania electorală pentru alegerile prezidențiale și referendum a determinat Kremlinul să își mobilizeze toate resursele din Republica Moldova. În lupta pentru fotoliul de șef al statului, dar și pentru compromiterea referendumului, au fost aruncate chiar și cele mai „sfinte” resurse - preoții, care au adunat semnături de la oameni din sate pentru candidata Victoria Furtună."
Mesaje false despre alegeri și referendum: Atenționarea autorităților,3470,,https://stiri.md/article/social/mesaje-false-despre-alegeri-si-referendum-atentionarea-autoritatilor,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Serviciul Tehnologia Informației și Securitatea Cibernetică (STISC) avertizează cetățenii cu privire la o campanie de dezinformare în curs, distribuită prin intermediul platformelor de mesagerie instantanee, în special WhatsApp."
Barack Obama se pregătește să intre în campanie alături de Kamala Harris,1197,,https://stiri.md/article/international/barack-si-michelle-obama-se-pregatesc-sa-intre-in-campanie-alaturi-de-kamala-harris,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Democrata Kamala Harris va face campanie pentru prima dată alături de Barack și Michelle Obama în cadrul unor evenimente separate săptămâna viitoare, în speranța de a aduce o anumită greutate politică în cursa finală către ziua alegerilor prezidențiale americane, din 5 noiembrie, după cum a declarat un oficial de campanie citat de Reuters."
Elveția neutră s-a alăturat Inițiativei Scutului Aerian European,1151,,https://stiri.md/article/international/elvetia-neutra-s-a-alaturat-initiativei-scutului-aerian-european,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Elveția s-a alăturat Inițiativei Scutului Aerian European (ESSI), un proiect care își propune să construiască un sistem unificat de apărare aeriană și împotriva rachetelor în Europa, transmite Reuters."
"Wiz Khalifa, trimis în judecată la Constanța: A fumat marijuana pe scenă",1456,,https://stiri.md/article/international/wiz-khalifa-trimis-in-judecata-la-constanta-a-fumat-marijuana-pe-scena,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Rapperul Wiz Khalifa a fost trimis în judecată la Constanța, după ce a fumat marijuana, în această vară, pe scena festivalului „Beach, Please!” din Costinești. Procurorii DIICOT l-au trimis în judecată pentru consum ilicit de droguri. Decizia a fost făcută publică pe site-ul Ministerului Justiției din România."
Moldsilva planifică să pună în vânzare 240.000 de metri steri de lemne,906,,https://stiri.md/article/social/moldsilva-planifica-sa-puna-in-vanzare-circa-240-000-de-metri-steri-de-lemne,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Agenția de Stat „Moldsilva” planifică să pună în vânzare aproximativ 240 de mii de metri steri de masă lemnoasă. În acest an prețurile la lemnele de foc s-au majorat cu 10 la sută comparativ cu anul trecut, iar oamenii susțin că acestea sunt prea mari."
"Marfă nedeclarată, depistată la vama Sculeni: Unde era ascunsă",2339,,https://stiri.md/article/social/marfa-nedeclarata-depistata-la-vama-sculeni-unde-era-ascunsa,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Acumulatoare pentru instrumente electrice, care nu au fost declarate, au fost depistate  într-un mijloc de transport Mercedes. Incidentul a fost înregistrat la postul vamal Sculeni."
Șoferul care a luat pe capotă un polițist în Chișinău a fost arestat,6573,,https://stiri.md/article/social/soferul-care-a-luat-pe-capota-un-politist-in-chisinau-a-fost-arestat,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Șoferul unui BMW care a luat pe capotă un polițist, în apropiere de Academia de Studii Economice din Moldova (ASEM), a fost plasat în arest."
"PG: Circa 100 de victime ale traficului de ființe, identificate în 2024",1854,,https://stiri.md/article/social/pg-circa-100-de-victime-ale-traficului-de-fiinte-umane-identificate-in-2024,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","În primele nouă luni ale anului curent, au fost identificate 97 de victime ale traficului de ființe umane și de copii. Dintre acestea, 81 sunt persoane adulte (17 femei/64 bărbați) și 16 copii (15 fete/1 băiat)."
Franța este deschisă invitării imediate a Ucrainei în NATO,1334,,https://stiri.md/article/international/franta-este-deschisa-invitarii-imediate-a-ucrainei-in-nato,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Ministrul de externe al Franței, Jean-Noel Barrot, a declarat sâmbătă la Kiev că Parisul este deschis ideii de a invita imediat Ucraina să adere la NATO, dar că discuțiile vor continua pe această temă cu aliații, informează Agerpres care citează Reuters."
