Titlu,Vizualizari,Data publicarii,Sursa,Referinte,Rezumat,,,,
"Adrian Albu: Dacă Sandu se teme de bandiți, nu trebuie să fie președinte",1912,"10 Octombrie 2024, 19:00",https://stiri.md/article/politica/adrian-albu-daca-sandu-se-teme-de-banditi-nu-trebuie-sa-fie-presedinte,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Deputatul PSRM, Adrian Albu, a criticat-o pe pre?edinta Maia Sandu pentru refuzul de a participa la dezbaterile electorale, sus?in?nd c? acest lucru arat? o ?fric? ordinar?? ?i c? un pre?edinte nu ar trebui s? se team? de nimeni. Sandu, care a anulat ?nt?lnirile pentru a respecta cet??enii, a declarat c? nu a decis ?nc? dac? va participa la dezbateri cu ?candida?i neautentici?. Candidatul independent Alexandr Stoianoglo a p?r?sit dezbaterile, nemul?umit de absen?a ei.",,,,
Ambasador: Produsele din R. Moldova își găsesc deja locul pe piața UE,618,"10 Octombrie 2024, 19:20",https://stiri.md/article/politica/ambasador-produsele-din-r-moldova-isi-gasesc-deja-locul-pe-piata-ue,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Ambasadorul Rom?niei ?n Republica Moldova, Cristian-Leon ?urcanu, a declarat c? viitorul antreprenorilor moldoveni se afl? ?n Uniunea European?, eviden?iind c? produsele tradi?ionale din R. Moldova ??i g?sesc loc pe pia?a european?. El a men?ionat c? integrarea ?n UE va oferi o mai bun? protec?ie prin legisla?ia european?, asigur?nd p?strarea identit??ii ?i tradi?iilor locale, precum ?i standarde de calitate care protejeaz? consumatorii. Ambasadorul a observat cu m?ndrie antreprenori locali la Antreprenor Expo, unde a degustat produsele acestora.",,,,
Zelenski s-a întâlnit cu premierul britanic: Prima oprire din turneu,684,"10 Octombrie 2024, 19:10",https://stiri.md/article/international/zelenski-s-a-intalnit-cu-premierul-britanic-la-londra-prima-oprire-din-turneu,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Pre?edintele ucrainean Volodimir Zelenski a ?nceput un turneu european la Londra, unde s-a ?nt?lnit cu premierul britanic Keir Starmer, pentru a ob?ine sprijin ?n r?zboiul cu Rusia. Urmeaz? ?nt?lniri cu Emmanuel Macron ?n Fran?a, Giorgia Meloni ?n Italia ?i Papa Francisc la Vatican. Turneul are loc ?ntr-o perioad? de avansare a for?elor ruse ?n Done?k, iar Zelenski a criticat lentoarea alia?ilor ?n furnizarea de ajutoare.",,,,
Moldova se confruntă cu o criză a donatorilor de organe: Ce spun medicii,563,"10 Octombrie 2024, 18:50",https://stiri.md/article/social/r-moldova-se-confrunta-cu-o-criza-a-donatorilor-de-organe-ce-spun-medicii,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","R. Moldova se confrunt? cu o criz? a donatorilor de organe, av?nd peste 80 de pacien?i anual care necesit? un transplant, dar doar 4 primesc ajutor. Majoritatea pacien?ilor au sub 45 de ani, iar mul?i mor ?nainte de a ob?ine un organ. Reticen?a rudelor de a consim?i la donare este o barier? major?, iar doar dou? institu?ii medicale sunt autorizate s? preleveze organe. Recent, Spitalul Clinic Republican ?Timofei Mo?neaga? a fost acreditat pentru prelevarea de organe de la donatori ?n moarte cerebral?.",,,,
"Peste 300 de plante de cânepă, descoperite într-o gospodărie din Comrat",533,"10 Octombrie 2024, 18:40",https://stiri.md/article/social/peste-300-de-plante-de-canepa-descoperite-intr-o-gospodarie-din-comrat,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Poli?ia din UTA G?g?uzia a descoperit peste 300 de plante de c?nep? ?ntr-o gospod?rie din satul Cioc-Maidan, Comrat. Oamenii legii au ridicat 315 plante ?n cre?tere ?i 650 de grame de substan?? vegetal? uscat? asem?n?toare cu marijuana, ambalat? ?n 13 pachete. De asemenea, au confiscat o arm? de v?n?toare de?inut? ilegal. Investiga?iile continu?, iar infrac?iunile de acest tip se pot pedepsi cu ?nchisoare de la 7 la 15 ani.",,,,
SUA și PNUD susțin digitalizarea sistemului penitenciar din R. Moldova,311,"10 Octombrie 2024, 18:30",https://stiri.md/article/social/sua-si-pnud-sustin-digitalizarea-sistemului-penitenciar-din-r-moldova,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Guvernul SUA ?i PNUD sprijin? Ministerul Justi?iei din R. Moldova ?n digitalizarea sistemului penitenciar, cu un buget de 1,94 milioane de dolari. Proiectul vizeaz? cre?terea eficien?ei ?i transparen?ei ?n gestionarea dosarelor de?inu?ilor prin dezvoltarea unui sistem electronic. De asemenea, personalul ANP ?i INP va beneficia de formare ?i echipamente necesare pentru aceast? transformare digital?.",,,,
Un șofer a ascuns un lot comercial de mărfuri și acum riscă sancțiuni,533,"10 Octombrie 2024, 18:20",https://stiri.md/article/social/un-sofer-a-ascuns-un-lot-comercial-de-marfuri-si-acum-risca-sanctiuni,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Un ?ofer de 31 de ani, cu dubl? cet??enie, a ?ncercat s? treac? frontiera f?r? a declara un lot de m?rfuri, inclusiv termostate ?i accesorii pentru instala?ii, transportate ?ntr-un Mercedes-Benz Sprinter venit din Fran?a. Func?ionarii vamali au confiscat bunurile, iar ?oferul risc? sanc?iuni contraven?ionale.",,,,
Ce substanță din jucării crește cu 300% riscul de deces prin cancer,2609,"10 Octombrie 2024, 18:10",https://stiri.md/article/social/ce-substanta-din-jucarii-creste-cu-300-riscul-de-deces-prin-cancer,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Un studiu recent avertizeaz? c? plasticul negru, utilizat ?n juc?riile pentru copii ?i ?n recipientele pentru m?ncare, poate con?ine eteri de difenil, un compus chimic periculos. Aceast? substan??, dac? ajunge ?n organism, cre?te riscul de deces prin cancer cu 300% pentru persoanele cu niveluri ridicate ?n s?nge.",,,,
Alertă cu bombă la o instituție de învățământ din Chișinău,1072,"10 Octombrie 2024, 16:45",https://stiri.md/article/social/alerta-cu-bomba-la-o-institutie-de-invatamant-din-chisinau,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Alerta cu bomb? de la o institu?ie de ?nv???m?nt de pe strada Alexei Mateevici din Chi?in?u s-a dovedit a fi fals?, dup? ce serviciile specializate nu au g?sit obiecte suspecte. Poli?ia a fost sesizat? de un b?rbat ?n jurul orei 17:40, iar acum a fost ini?iat un proces penal pentru comunicarea mincinoas? despre un act de terorism, iar autorit??ile caut? s? identifice apelantul.",,,,
"BNS: Prețurile medii de consum au crescut în septembrie cu 5,2%",206,"11 Octombrie 2024, 21:38",https://stiri.md/article/economic/bns-preturile-medii-de-consum-au-crescut-in-septembrie-cu-5-2,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","?n septembrie 2024, pre?urile medii de consum au crescut cu 5,2% fa?? de aceea?i lun? din 2023, conform Biroului Na?ional de Statistic?. Produsele alimentare s-au scumpit cu 7,1%, ?n special legumele (45%), fructele (19,2%) ?i ou?le (31,6%). La m?rfurile nealimentare, ?nc?l??mintea a crescut cu 11,6%, iar medicamentele cu 8,06%. Serviciile au avut o scumpire medie de 2,1%, cu o cre?tere semnificativ? a serviciilor medicale (24,8%). ?n acela?i timp, gazul s-a ieftinit cu 27,3%, iar tarifele pentru ?nc?lzirea centralizat? cu 43%. Banca Na?ional? a Moldovei estimeaz? c? rata anual? a infla?iei nu va dep??i 5% ?n acest an.",,,,
Un bărbat din Zaim a revenit acasă și și-a pus pe roate o afacere,1343,"11 Octombrie 2024, 18:50",https://stiri.md/article/social/un-barbat-din-zaim-a-revenit-acasa-si-si-a-pus-pe-roate-o-afacere,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Un b?rbat de 38 de ani din satul Zaim, dup? patru ani de munc? ?n Federa?ia Rus?, a revenit acas? ?i a ?nfiin?at o afacere de cre?tere a ovinelor. Acum, este unul dintre cei mai mari produc?tori de carne ?i br?nz? de oaie din localitate. De?i zootehnia este o ramur? dificil?, el ??i ?ndepline?te visul cu mult? pasiune ?i efort. ?ntre provoc?rile ?nt?mpinate se num?r? lipsa infrastructurii adecvate ?i dificult??ile de acces pe pia??. T?n?rul are planuri ambi?ioase de extindere a fermei ?i diversificare a produselor, dorind s? produc? mai multe tipuri de br?nzeturi ?i mezeluri tradi?ionale.",,,,
Partidul MAN informează cetățenii despre beneficiile aderării la UE,758,"11 Octombrie 2024, 18:40",https://stiri.md/article/politica/man-desfasoara-o-campanie-de-informare-a-cetatenilor-despre-beneficiile-aderarii-la-ue,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Partidul MAN, condus de edilul Ion Ceban, desf??oar? o campanie de informare a cet??enilor din Moldova despre beneficiile ader?rii la Uniunea European?. Ceban subliniaz? importan?a acestei oportunit??i, chiar dac? mul?i cet??eni au fost dezam?gi?i de guvernare. El afirm? c? alegerea este pentru viitor ?i c? cet??enii au capacitatea de a lua decizii informate ?i mature ?n contextul turbulent al politicii moldovene?ti.",,,,
Furie în Turcia după ce mai multe femei au fost ucise cu brutalitate,1793,"11 Octombrie 2024, 18:30",https://stiri.md/article/international/furie-in-turcia-dupa-ce-mai-multe-femei-au-fost-ucise-cu-brutalitate,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","O serie de cazuri de femicid ?n Turcia a provocat o indignare na?ional?, determin?ndu-l pe pre?edintele Recep Tayyip Erdogan s? se angajeze s? ?nt?reasc? legea penal?. Aproape 300 de femei au fost ucise ?n acest an, iar protestele au avut loc ?n diferite ora?e, cer?nd guvernului s? opreasc? violen?a ?i impunitatea. Cazuri recente, inclusiv uciderea brutal? a unei tinere de c?tre un m?celar ?i a unei poli?iste, au amplificat furia publicului. Erdogan a recunoscut reac?ia justificat? a na?iunii ?i a promis m?suri pentru a ?nt?ri sistemul de justi?ie.",,,,
De ce agricultorii nu folosesc hibrizi de porumb rezistenți la secetă,1243,"11 Octombrie 2024, 18:20",https://stiri.md/article/economic/de-ce-agricultorii-nu-renunta-la-porumb-si-nu-folosesc-hibrizi-rezistenti-la-seceta,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Agricultorii moldoveni continu? s? cultive porumb, de?i seceta poate compromite recolta cu p?n? la 100%. Majoritatea nu folosesc hibrizi rezisten?i la secet?, prefer?nd porumbul datorit? recoltei mari ?n condi?ii favorabile ?i cererii pe pia??. ?n ultimii patru ani, recolta medie a fost de doar 2,9 tone pe hectar, iar mul?i fermieri cer ajutoare de la autorit??i pentru a face fa?? crizei agricole.",,,,
"Chișinău, magnetul Moldovei: Generează 60% din PIB-ul național",379,"11 Octombrie 2024, 18:10",https://stiri.md/article/social/chisinau-magnetul-moldovei-genereaza-60-din-pib-ul-national,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Chi?in?u genereaz? 60% din PIB-ul na?ional al Moldovei, av?nd o popula?ie de peste 27% din totalul ??rii. Capitala produce 55% din produc?ia industrial?, concentreaz? 70% din activitatea de construc?ii ?i atrage 90% din investi?iile ?n locuin?e. ?n plus, Chi?in?u ?nregistreaz? 75% din v?nz?rile na?ionale, cu 82% din afacerile mari situate aici. Se estimeaz? c? popula?ia va ajunge la 665.000 ?n 2024, iar PIB-ul regional ar putea atinge 203,8 miliarde de lei. Diferen?ele economice ?ntre Chi?in?u ?i restul ??rii continu? s? creasc?.",,,,
Câștigătoarea titlului Educatorul anului 2024 riscă să piardă distincția,1526,"11 Octombrie 2024, 18:00",https://stiri.md/article/social/castigatoarea-titlului-educatorul-anului-2024-risca-sa-piarda-distinctia,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","C??tig?toarea premiului ?Educatorul anului 2024?, Valentina Moscalu, risc? s? piard? titlul dup? ce Ministerul Educa?iei a ini?iat o examinare a retragerii acestuia din cauza unor sanc?iuni aplicate de autorit??ile locale. MEC a anun?at c?, pentru a preveni situa?ii similare ?n viitor, va modifica regulamentul concursului, cer?nd candida?ilor s? depun? o declara?ie pe propria r?spundere privind lipsa sanc?iunilor disciplinare. Moscalu, cu 24 de ani de experien?? la Gr?dini?a-cre?? nr. 10 ?Gugu??? din R??cani, a ob?inut premiul I pe 6 octombrie.",,,,
"Evaluarea candidaților pentru colegiile specializate ale CSM, finalizată",347,"11 Octombrie 2024, 17:58",https://stiri.md/article/social/evaluarea-candidatilor-pentru-colegiile-specializate-ale-csm-finalizata,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Comisia Vetting a evaluat 25 de candida?i pentru colegiile Consiliului Superior al Magistraturii (CSM). Evaluarea a avut loc ?n decembrie 2023, cu o rat? de promovare de 85% pentru Colegiul pentru selec?ia judec?torilor ?i 50% pentru Colegiul disciplinar. Trei candida?i s-au retras, iar to?i cei care au promovat au participat la audieri publice. Din total, 13 candida?i au acceptat publicarea deciziilor Comisiei.",,,,
A utilizat Sandu resurse administrative în campanie? CEC va investiga,1074,"11 Octombrie 2024, 17:54",https://stiri.md/article/politica/a-utilizat-sandu-resurse-administrative-in-campanie-cec-va-investiga,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Maia Sandu, candidata PAS la alegerile preziden?iale, este acuzat? de Ion Chicu de la PDCM pentru utilizarea resurselor administrative ?n campania electoral?. Chicu sus?ine c? Sandu a f?cut agita?ie electoral? prin participarea la proiecte de infrastructur? finan?ate din bugetul public. Comisia Electoral? Central? (CEC) a examinat contesta?ia, dar nu a ajuns la o decizie final? ?i va continua investigarea. Membrii CEC au observat c? Sandu a ac?ionat ?n calitate de pre?edinte ?i nu de candidat, f?r? a face apel direct la vot.",,,,
Suma uimitoare care se adună într-un an în faimoasa Fontana di Trevi,1555,"12 Octombrie 2024, 19:10",https://stiri.md/article/international/suma-uimitoare-care-se-aduna-intr-un-an-in-faimoasa-fontana-di-trevi,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Fontana di Trevi din Roma atrage milioane de turi?ti care arunc? anual ?ntre 1,3 ?i 1,9 milioane de euro ?n monede. Banii sunt folosi?i pentru a ajuta persoanele defavorizate prin dona?ii c?tre organiza?ii caritabile. De asemenea, din f?nt?n? sunt recuperate diverse obiecte neobi?nuite. Conform legendei, arunc?nd o moned?, turi?tii se vor ?ntoarce la Roma.",,,,
"SUA, noi sancţiuni contra Iranului: Răspuns la atacul asupra Israelului",641,"12 Octombrie 2024, 20:00",https://stiri.md/article/international/sua-noi-sanctiuni-contra-iranului-raspuns-la-atacul-asupra-israelului,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","SUA au impus noi sanc?iuni ?mpotriva Iranului ca r?spuns la atacul cu rachete din 1 octombrie asupra Israelului. Sanc?iunile vizeaz? ?ntreaga industrie petrochimic? iranian? ?i 20 de nave ?i companii str?ine implicate ?n transportul petrolului iranian, ?n principal din China, dar ?i din Emiratele Arabe Unite ?i Liberia. Anun?ul a fost coordonat cu alia?ii, iar sanc?iunile sunt menite s? creasc? presiunea financiar? asupra Teheranului ?i s? limiteze capacitatea acestuia de a destabiliza regiunea.",,,,
Corșicova nu reușește să-și anuleze sancțiunile. Ce a decis instanța,1517,"12 Octombrie 2024, 19:40",https://stiri.md/article/social/arina-corsicova-nu-reuseste-sa-si-anuleze-sanctiunile-ce-a-decis-prima-instanta,"https://sales.simpals.com/ro/bannere-publicitare?utm_source=stiri&utm_medium=organic&utm_campaign=plasare_banner, https://play.google.com/store/apps/details?id=md.simpals.stiri, https://apps.apple.com/md/app/stiri-md-%C8%99tiri-din-moldova/id1491333889, https://www.facebook.com/stirimd/, https://t.me/stirimd","Arina Cor?icova, asociat? cu Partidul ?ans? ?i Ilan ?or, nu a reu?it s? anuleze sanc?iunile impuse de SIS, iar cererea ei a fost declarat? inadmisibil? din lips? de documente. Are dreptul s? depun? o nou? cerere sau s? conteste decizia la Curtea de Apel Chi?in?u. Inclus? pe lista sanc?iunilor de Canada ?i Uniunea European?, sanc?iunile prev?d ?nghe?area activelor ?i interdic?ia de a c?l?tori ?n spa?iul comunitar.",,,,
