Titlu,Rezumat,Data Publicării,URL
Таинственная смерть двух братьев в Приднестровье:,"Голосование по почте для граждан Молдовы: ""Такое подозрение, что конверты ""доходят или не доходят"" в зависимости от того, как ты проголосовал""",19-10-2024 20:29:04,http://md.kp.media/online/news/6048840/
Тотальный контроль за нашими деньгами:,Таинственная смерть двух братьев в Приднестровье: Их автомобиль нашли в Днестре - в салоне обнаружили тела погибших,19-10-2024 18:30:20,http://md.kp.media/online/news/6048905/
"Огурцы по 100 леев,  помидоры","Тотальный контроль за нашими деньгами: Теперь жители Молдовы не смогут купить себе ничего ценного - как доказать, что деньги хранил в кубышке, а не украл-отмыл их или финансировал терроризм",19-10-2024 17:10:49,http://md.kp.media/online/news/6048521/
Шор назвал своего кандидата:,"Огурцы по 100 леев,  помидоры - 50, виноград - 40: Как продавцы Центрального рынка объясняют такие сумасшедшие цены в аграрной Молдове",19-10-2024 16:02:35,/daily/27648/4999587/
Референдум в Молдове перерос в масштабную дискуссию и усилил раскол общества:,Референдум в Молдове перерос в масштабную дискуссию и усилил раскол общества: «Не зря американские партнеры изначально скептически относились к этой идее» - мнение,21-10-2024 19:40:09,http://md.kp.media/online/news/6050867/
Молдова:,Молдова: референдум на фоне холодной войны России и Запада,21-10-2024 19:06:00,/daily/27649.5/5000635/
Электоральная арифметика:,"Электоральная арифметика: Если к цифрам подойти скрупулёзно, то проголосовавших за изменение Конституции Молдовы будет гораздо меньше, чем объявил ЦИК",21-10-2024 18:04:56,http://md.kp.media/online/news/6051484/
"Разгром, который учинила западная пресса Майе Санду после ночи выборов, выглядит беспощадным:","Разгром, который учинила западная пресса Майе Санду после ночи выборов, выглядит беспощадным: BBC сообщает о провале референдума и спрашивает о результатах, если бы в России открыли более полусотни участков для граждан Молдовы",21-10-2024 17:07:04,http://md.kp.media/online/news/6051085/
Жизнь после выборов:,"Проценты значения не имеют, когда всего лишь половина граждан Молдовы проголосовала за еврореферендум: О чем Майя Санду заявила на брифинге",21-10-2024 15:56:16,http://md.kp.media/online/news/6051117/
"Пропагандисты власти начинают оскорблять народ Молдовы за то, что на выборах не получено ожидаемых результатов:",Жизнь после выборов: Что будет в Молдове после полного провала правящей партии - версии,21-10-2024 15:05:38,http://md.kp.media/online/news/6050911/
Результаты голосования в Молдове и за границей,"Пропагандисты власти начинают оскорблять народ Молдовы за то, что на выборах не получено ожидаемых результатов: «Избиратели намного умнее, они голосовали против лицемерия» - мнение",21-10-2024 14:47:23,http://md.kp.media/online/news/6050473/
Самое большое преступление Майи Санду:,"Результаты голосования в Молдове и за границей - две очень большие разницы: Как получилось, что почти все районы страны сказали твердое “нет” еврореферендуму, а во многих в президенты выбрали Стояногло",21-10-2024 13:45:13,http://md.kp.media/online/news/6050577/
Центр PATRIOT и СИБ не справились с задачей:,"Самое большое преступление Майи Санду: Ей удалось глубоко расколоть Молдову, где настолько сильны  родственно-кумовские связи, а врагами стали даже родные друг другу люди",21-10-2024 13:00:58,http://md.kp.media/online/news/6050406/
Президент Молдовы Санду в любом случае с треском проиграла свой еврореферендум:,"Центр PATRIOT и СИБ не справились с задачей: ПАС думала, что контролирует всех, но оказалось, что в Молдове много недовольных властью",21-10-2024 11:48:47,http://md.kp.media/online/news/6050179/
Выборы и референдум в Кишиневе:,"Референдум о евроинтеграции почти провалился, а Молдову ждёт второй тур президентских выборов - итоговые результаты",21-10-2024 11:05:12,/daily/27649.5/5000171/
Когда на родине фермерство медленно и уверенно убивают:,Президент Молдовы Санду в любом случае с треском проиграла свой еврореферендум: А спасти ее от полного позора может только диаспора,21-10-2024 10:04:18,/daily/27649.5/5000178/
В Молдову пришло аномальное потепление:,"Какой будет погода в Молдове во вторник, 22 октября",21-10-2024 20:52:37,http://md.kp.media/online/news/6051721/
Референдум в Молдове перерос в масштабную дискуссию и усилил раскол общества:,"Братья уехали на рыбалку 16 октября, домой не вернулись, их пришлось объявлять  в розыск",21-10-2024 20:11:47,http://md.kp.media/online/news/6051632/
